S.No,Category,Context,English,Tamil,Source,File Location
27,Navigation,Login action,Login,உள்நுழை,Frontend,src/core/i18n/translations.ts
28,Navigation,Signup action,Sign Up,பதிவு செய்,Frontend,src/core/i18n/translations.ts
29,Survey Board,Page title,Available Surveys,கிடைக்கும் கணக்கெடுப்புகள்,Frontend,src/core/i18n/translations.ts
30,Survey Board,Welcome message,Welcome,வருக,Frontend,src/core/i18n/translations.ts
31,Survey Board,Welcome back message,Welcome back,மீண்டும் வரவேற்கிறோம்,Frontend,src/core/i18n/translations.ts
32,Survey Board,Verify profile prompt,Verify/update your profile,உங்கள் சுயவிவரத்தை சரிபார்க்கவும்/புதுப்பிக்கவும்,Frontend,src/core/i18n/translations.ts
33,Survey Board,Start message,Start seeing if you pre-qualify for a study by filling out the survey at the link(s) below.,கீழே உள்ள இணைப்பு(களில்) உள்ள கணக்கெடுப்பை நிரப்புவதன் மூலம் நீங்கள் ஒரு ஆய்வுக்கு முன்-தகுதி பெறுகிறீர்களா என்பதைப் பார்க்கத் தொடங்குங்கள்.,Frontend,src/core/i18n/translations.ts
34,Survey Board,No surveys message,No Surveys Available Yet,இன்னும் கணக்கெடுப்புகள் இல்லை,Frontend,src/core/i18n/translations.ts
35,Survey Board,No surveys for industry,No Surveys Available for Selected Industry,தேர்ந்தெடுக்கப்பட்ட துறைக்கு கணக்கெடுப்புகள் இல்லை,Frontend,src/core/i18n/translations.ts
36,Survey Board,Filter prompt,Filter by Industry,துறை வாரியாக வடிகட்டு,Frontend,src/core/i18n/translations.ts
37,Survey Board,All industries filter,All Industries,அனைத்து துறைகள்,Frontend,src/core/i18n/translations.ts
38,Survey Board,Available status,Available,சமர்ப்பிக்க,Frontend,src/core/i18n/translations.ts
39,Survey Board,Draft status,Draft Saved,வரைவு சேமிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
40,Survey Board,Submitted status,Submitted,சமர்ப்பிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
41,Survey Board,Approved status,Approved,அங்கீகரிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
42,Survey Board,Declined status,Declined,நிராகரிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
43,Survey Board,Completed status,Completed,முடிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
44,Survey Board,Minutes label,min,நிமிடம்,Frontend,src/core/i18n/translations.ts
45,Survey Board,Resume button,Resume,தொடர்,Frontend,src/core/i18n/translations.ts
46,Survey Board,Start button,Start,தொடங்கு,Frontend,src/core/i18n/translations.ts
47,Survey Detail,Question label,Question,கேள்வி,Frontend,src/core/i18n/translations.ts
48,Survey Detail,Of preposition,of,இல்,Frontend,src/core/i18n/translations.ts
49,Survey Detail,Optional marker,(Optional),(விருப்பமானது),Frontend,src/core/i18n/translations.ts
50,Survey Detail,Required marker,(Required),(தேவையானது),Frontend,src/core/i18n/translations.ts
51,Survey Detail,Add comment label,Add a comment,கருத்தைச் சேர்க்கவும்,Frontend,src/core/i18n/translations.ts
52,Survey Detail,Comment placeholder,Share your thoughts...,உங்கள் எண்ணங்களைப் பகிரவும்...,Frontend,src/core/i18n/translations.ts
53,Survey Detail,Save draft button,Save Draft,வரைவைச் சேமி,Frontend,src/core/i18n/translations.ts
54,Survey Detail,Continue button,Continue,தொடர்க,Frontend,src/core/i18n/translations.ts
55,Survey Detail,Submit button,Submit Survey,கணக்கெடுப்பை சமர்ப்பிக்கவும்,Frontend,src/core/i18n/translations.ts
56,Survey Detail,Submitting state,Submitting...,சமர்ப்பிக்கிறது...,Frontend,src/core/i18n/translations.ts
57,Survey Detail,Back to surveys link,Back to Surveys,கணக்கெடுப்புகளுக்குத் திரும்பு,Frontend,src/core/i18n/translations.ts
58,Survey Detail,Already completed title,Survey Already Completed,கணக்கெடுப்பு ஏற்கனவே முடிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
59,Survey Detail,Submitted message,You have already submitted a response for this survey. It is currently under review.,இந்த கணக்கெடுப்புக்கு நீங்கள் ஏற்கனவே பதிலை சமர்ப்பித்துள்ளீர்கள். அது தற்போது மதிப்பாய்வில் உள்ளது.,Frontend,src/core/i18n/translations.ts
60,Survey Detail,Approved message,Your response has been approved. Thank you for your participation!,உங்கள் பதில் அங்கீகரிக்கப்பட்டுள்ளது. உங்கள் பங்கேற்புக்கு நன்றி!,Frontend,src/core/i18n/translations.ts
61,Survey Detail,Declined message,Your response was reviewed. Please check your email for more details.,உங்கள் பதில் மதிப்பாய்வு செய்யப்பட்டது. மேலும் விவரங்களுக்கு உங்கள் மின்னஞ்சலைச் சரிபார்க்கவும்.,Frontend,src/core/i18n/translations.ts
62,Survey Detail,Thank you message,Thank You!,நன்றி!,Frontend,src/core/i18n/translations.ts
63,Survey Detail,Survey completed title,Survey Completed Successfully,கணக்கெடுப்பு வெற்றிகரமாக முடிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
64,Survey Detail,Response recorded,Your response has been recorded successfully.,உங்கள் பதில் வெற்றிகரமாக பதிவு செய்யப்பட்டுள்ளது.,Frontend,src/core/i18n/translations.ts
65,Survey Detail,Please answer prompt,Please answer this question to continue,தொடர இந்த கேள்விக்கு பதிலளிக்கவும்,Frontend,src/core/i18n/translations.ts
66,Survey Detail,Complete button,Complete,முழுமை,Frontend,src/core/i18n/translations.ts
67,Survey Success,Title message,Thank you for your responses!,உங்கள் பதில்களுக்கு நன்றி!,Frontend,src/core/i18n/translations.ts
68,Survey Success,Main message,Our team will review your answers. If you meet the criteria for this study, a Thought Metrics representative will contact you for next steps.,எங்கள் குழு உங்கள் பதில்களை மதிப்பாய்வு செய்யும். இந்த ஆய்வுக்கான அளவுகோல்களை நீங்கள் பூர்த்தி செய்தால், அடுத்த படிகளுக்கு Thought Metrics பிரதிநிதி உங்களைத் தொடர்பு கொள்வார்.,Frontend,src/core/i18n/translations.ts
69,Survey Success,Sub message,Stay tuned — your opinions help shape tomorrow's decisions!,கவனமாக இருங்கள் — உங்கள் கருத்துகள் நாளைய முடிவுகளை வடிவமைக்க உதவுகின்றன!,Frontend,src/core/i18n/translations.ts
70,Survey Success,Back button,Back to Surveys,கணக்கெடுப்புகளுக்குத் திரும்பு,Frontend,src/core/i18n/translations.ts
71,Toast Notifications,Survey submitted success,Survey submitted successfully! You will be contacted soon.,கணக்கெடுப்பு வெற்றிகரமாக சமர்ப்பிக்கப்பட்டது! விரைவில் உங்களைத் தொடர்பு கொள்வோம்.,Frontend,src/core/i18n/translations.ts
72,Toast Notifications,Survey submitted error,Failed to submit survey. Please try again.,கணக்கெடுப்பை சமர்ப்பிக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
73,Toast Notifications,Profile updated success,Profile updated successfully!,சுயவிவரம் வெற்றிகரமாக புதுப்பிக்கப்பட்டது!,Frontend,src/core/i18n/translations.ts
74,Toast Notifications,Profile updated error,Failed to update profile. Please try again.,சுயவிவரத்தை புதுப்பிக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
75,Survey Questions,Select option prompt,Select an option,ஒரு விருப்பத்தைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
76,Survey Questions,Select multiple prompt,Select all that apply,பொருந்தும் அனைத்தையும் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
77,Survey Questions,Enter value prompt,Enter value,மதிப்பை உள்ளிடவும்,Frontend,src/core/i18n/translations.ts
78,Survey Questions,Type here placeholder,Type here...,இங்கே தட்டச்சு செய்யவும்...,Frontend,src/core/i18n/translations.ts
79,Survey Questions,Select date prompt,Select date,தேதியைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
80,Survey Questions,Upload file button,Upload file,கோப்பைப் பதிவேற்றவும்,Frontend,src/core/i18n/translations.ts
81,Survey Questions,Drag items instruction,Drag to reorder,மறுவரிசைப்படுத்த இழுக்கவும்,Frontend,src/core/i18n/translations.ts
82,Survey Questions,Rank items instruction,Rank from most to least important,மிக முக்கியமானது முதல் குறைந்த முக்கியம் வரை தரவரிசைப்படுத்தவும்,Frontend,src/core/i18n/translations.ts
83,Survey Questions,Allocate points instruction,Allocate points,புள்ளிகளை ஒதுக்கவும்,Frontend,src/core/i18n/translations.ts
84,Survey Questions,Total points label,Total Points,மொத்த புள்ளிகள்,Frontend,src/core/i18n/translations.ts
85,Survey Questions,Points remaining label,Points Remaining,மீதம் உள்ள புள்ளிகள்,Frontend,src/core/i18n/translations.ts
86,Survey Questions,Select most prompt,Select most important,மிக முக்கியமானதைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
87,Survey Questions,Select least prompt,Select least important,குறைந்த முக்கியமானதைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
88,Survey Questions,No options message,No options selected,விருப்பங்கள் எதுவும் தேர்ந்தெடுக்கப்படவில்லை,Frontend,src/core/i18n/translations.ts
89,Survey Questions,Invalid input error,Invalid input,தவறான உள்ளீடு,Frontend,src/core/i18n/translations.ts
90,Validation,Required field error,This field is required,இந்த புலம் தேவையானது,Frontend,src/core/i18n/translations.ts
91,Validation,Invalid email error,Invalid email address,தவறான மின்னஞ்சல் முகவரி,Frontend,src/core/i18n/translations.ts
92,Validation,Invalid phone error,Invalid phone number,தவறான தொலைபேசி எண்,Frontend,src/core/i18n/translations.ts
93,Validation,Min length error,Minimum {min} characters required,குறைந்தபட்சம் {min} எழுத்துக்கள் தேவை,Frontend,src/core/i18n/translations.ts
94,Validation,Max length error,Maximum {max} characters allowed,அதிகபட்சம் {max} எழுத்துக்கள் அனுமதிக்கப்படும்,Frontend,src/core/i18n/translations.ts
95,Validation,Min value error,Minimum value is {min},குறைந்தபட்ச மதிப்பு {min},Frontend,src/core/i18n/translations.ts
96,Validation,Max value error,Maximum value is {max},அதிகபட்ச மதிப்பு {max},Frontend,src/core/i18n/translations.ts
97,Validation,Invalid date error,Invalid date,தவறான தேதி,Frontend,src/core/i18n/translations.ts
98,Validation,Invalid file error,Invalid file format,தவறான கோப்பு வடிவம்,Frontend,src/core/i18n/translations.ts
99,Validation,Select at least error,Select at least {min} option(s),குறைந்தபட்சம் {min} விருப்பம்(களை) தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
100,Validation,Select at most error,Select at most {max} option(s),அதிகபட்சம் {max} விருப்பம்(களை) தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
101,Validation,Total must be error,Total must be exactly {total},மொத்தம் சரியாக {total} ஆக இருக்க வேண்டும்,Frontend,src/core/i18n/translations.ts
102,Profile,Page title,Profile,சுயவிவரம்,Frontend,src/core/i18n/translations.ts
103,Profile,Edit profile title,Edit Profile,சுயவிவரத்தைத் திருத்து,Frontend,src/core/i18n/translations.ts
104,Profile,Personal info section,Personal Information,தனிப்பட்ட தகவல்,Frontend,src/core/i18n/translations.ts
105,Profile,Contact info section,Contact Information,தொடர்பு தகவல்,Frontend,src/core/i18n/translations.ts
106,Profile,First name field,First Name,முதல் பெயர்,Frontend,src/core/i18n/translations.ts
107,Profile,Last name field,Last Name,கடைசி பெயர்,Frontend,src/core/i18n/translations.ts
108,Profile,Display name field,Display Name,காட்சிப் பெயர்,Frontend,src/core/i18n/translations.ts
109,Profile,Email field,Email,மின்னஞ்சல்,Frontend,src/core/i18n/translations.ts
110,Profile,Phone field,Phone,தொலைபேசி,Frontend,src/core/i18n/translations.ts
111,Profile,Date of birth field,Date of Birth,பிறந்த தேதி,Frontend,src/core/i18n/translations.ts
112,Profile,Gender field,Gender,பாலினம்,Frontend,src/core/i18n/translations.ts
113,Profile,City field,City,நகரம்,Frontend,src/core/i18n/translations.ts
114,Profile,State field,State,மாநிலம்,Frontend,src/core/i18n/translations.ts
115,Profile,Country field,Country,நாடு,Frontend,src/core/i18n/translations.ts
116,Profile,Save changes button,Save Changes,மாற்றங்களைச் சேமி,Frontend,src/core/i18n/translations.ts
117,Profile,Cancel button,Cancel,ரத்து செய்,Frontend,src/core/i18n/translations.ts
118,Profile,Profile updated message,Profile updated successfully,சுயவிவரம் வெற்றிகரமாக புதுப்பிக்கப்பட்டது,Frontend,src/core/i18n/translations.ts
119,Profile,Door number field,Door No/ Street Address,கதவு எண் / தெரு முகவரி,Frontend,src/core/i18n/translations.ts
120,Profile,District field,District,மாவட்டம்,Frontend,src/core/i18n/translations.ts
121,Profile,Zip code field,ZIP/PIN Code,அஞ்சல் குறியீடு,Frontend,src/core/i18n/translations.ts
122,Profile,Select gender placeholder,Select gender,பாலினத்தைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
123,Profile,Select state placeholder,Select state,மாநிலத்தைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
124,Profile,Select country placeholder,Select country/region,நாடு/பகுதியைத் தேர்ந்தெடுக்கவும்,Frontend,src/core/i18n/translations.ts
125,Profile,Select month placeholder,Month,மாதம்,Frontend,src/core/i18n/translations.ts
126,Profile,Select day placeholder,Day,நாள்,Frontend,src/core/i18n/translations.ts
127,Profile,Select year placeholder,Year,வருடம்,Frontend,src/core/i18n/translations.ts
128,Profile,Participation preferences title,Participation Preferences,பங்கேற்பு விருப்பத்தேர்வுகள்,Frontend,src/core/i18n/translations.ts
129,Profile,Participation preferences description,Indicate your willingness to participate in the following types of research,பின்வரும் வகையான ஆராய்ச்சியில் பங்கேற்க உங்கள் விருப்பத்தைக் குறிப்பிடவும்,Frontend,src/core/i18n/translations.ts
130,Profile,Required fields note,* denotes required field,* தேவையான புலத்தைக் குறிக்கிறது,Frontend,src/core/i18n/translations.ts
131,Profile,Saving state,Saving...,சேமிக்கப்படுகிறது...,Frontend,src/core/i18n/translations.ts
132,Profile,Optional note,Optional,விருப்பமானது,Frontend,src/core/i18n/translations.ts
133,Participation Options,Thought Metrics facilities,Interviews at Thought Metrics facilities,Thought Metrics வசதிகளில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
134,Participation Options,Phone interviews,Phone Interviews,தொலைபேசி நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
135,Participation Options,Online interviews,Online Interviews,ஆன்லைன் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
136,Participation Options,Interviews at home,Interviews at my home,எனது வீட்டில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
137,Participation Options,Local businesses,Interviews at local businesses,உள்ளூர் வணிகங்களில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
138,Language,Select language prompt,Select Language,மொழியைத் தேர்ந்தெடு,Frontend,src/core/i18n/translations.ts
139,Language,English name,English,English,Frontend,src/core/i18n/translations.ts
140,Language,Tamil name,Tamil,தமிழ்,Frontend,src/core/i18n/translations.ts
141,Language,Change language action,Change Language,மொழியை மாற்று,Frontend,src/core/i18n/translations.ts
142,Language,Language changed message,Language changed successfully,மொழி வெற்றிகரமாக மாற்றப்பட்டது,Frontend,src/core/i18n/translations.ts
143,Errors,Generic error,Something went wrong. Please try again.,ஏதோ தவறு நடந்தது. மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
144,Errors,Network error,Network error. Please check your connection.,நெட்வொர்க் பிழை. உங்கள் இணைப்பைச் சரிபார்க்கவும்.,Frontend,src/core/i18n/translations.ts
145,Errors,Timeout error,Request timeout. Please try again.,கோரிக்கை நேரமுடிந்தது. மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
146,Errors,Unauthorized error,Please login to continue.,தொடர உள்நுழையவும்.,Frontend,src/core/i18n/translations.ts
147,Errors,Forbidden error,You do not have permission to access this resource.,இந்த ஆதாரத்தை அணுக உங்களுக்கு அனுமதி இல்லை.,Frontend,src/core/i18n/translations.ts
148,Errors,Not found error,The requested resource was not found.,கோரப்பட்ட ஆதாரம் கிடைக்கவில்லை.,Frontend,src/core/i18n/translations.ts
149,Errors,Server error,Server error. Please try again later.,சர்வர் பிழை. பின்னர் மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
150,Errors,Try again button,Try Again,மீண்டும் முயற்சிக்கவும்,Frontend,src/core/i18n/translations.ts
151,Industries,All industries,All Industries,அனைத்து துறைகள்,Frontend,src/core/i18n/translations.ts
152,Industries,Advertising & Marketing,Advertising & Marketing,விளம்பரம் & சந்தைப்படுத்தல்,Frontend,src/core/i18n/translations.ts
153,Industries,Automotive,Automotive,வாகனத் தொழில்,Frontend,src/core/i18n/translations.ts
154,Industries,Education,Education,கல்வி,Frontend,src/core/i18n/translations.ts
155,Industries,Financial Services,Financial Services & Insurance,நிதிச் சேவைகள் & காப்பீடு,Frontend,src/core/i18n/translations.ts
156,Industries,FMCG,FMCG,FMCG,Frontend,src/core/i18n/translations.ts
157,Industries,Healthcare,Healthcare & Life Sciences,சுகாதாரம் & வாழ்க்கை அறிவியல்,Frontend,src/core/i18n/translations.ts
158,Industries,Human Resources,Human Resources,மனித வளங்கள்,Frontend,src/core/i18n/translations.ts
159,Industries,Internet & Media,Internet & Media,இணையம் & ஊடகம்,Frontend,src/core/i18n/translations.ts
160,Industries,Investor & Private Equity,Investor & Private Equity,முதலீட்டாளர் & தனியார் ஈக்விட்டி,Frontend,src/core/i18n/translations.ts
161,Industries,Retail & Merchandising,Retail & Merchandising,சில்லறை & வணிகம்,Frontend,src/core/i18n/translations.ts
162,Industries,Technology,Technology,தொழில்நுட்பம்,Frontend,src/core/i18n/translations.ts
163,Industries,Others,Others,பிறவை,Frontend,src/core/i18n/translations.ts
164,Auth - Login,Page title,Log in to Thought Metrics,Thought Metrics இல் உள்நுழைக,Frontend,src/core/i18n/translations.ts
165,Auth - Login,Thought Metrics ID field,Thought Metrics ID,Thought Metrics அடையாளம்,Frontend,src/core/i18n/translations.ts
166,Auth - Login,Password field,Password,கடவுச்சொல்,Frontend,src/core/i18n/translations.ts
167,Auth - Login,Remember me checkbox,Remember me,என்னை நினைவில் வைத்திருங்கள்,Frontend,src/core/i18n/translations.ts
168,Auth - Login,Continue button,Continue,தொடர்,Frontend,src/core/i18n/translations.ts
169,Auth - Login,Signing in state,Signing in...,உள்நுழைகிறது...,Frontend,src/core/i18n/translations.ts
170,Auth - Login,Create account link,Create a Thought Metrics ID,Thought Metrics அடையாளத்தை உருவாக்கு,Frontend,src/core/i18n/translations.ts
171,Auth - Login,No account message,Don't have an account?,கணக்கு இல்லையா?,Frontend,src/core/i18n/translations.ts
172,Auth - Login,Reset password link,Click here,இங்கே கிளிக் செய்யவும்,Frontend,src/core/i18n/translations.ts
173,Auth - Login,Welcome back message,Welcome Back!,மீண்டும் வரவேற்கிறோம்!,Frontend,src/core/i18n/translations.ts
174,Auth - Login,Success message,You have successfully logged in to Thought Metrics.,Thought Metrics இல் வெற்றிகரமாக உள்நுழைந்துள்ளீர்கள்.,Frontend,src/core/i18n/translations.ts
175,Auth - Login,Invalid credentials error,Invalid credentials. Please check your ID and password.,தவறான அறிமுகச் சான்றுகள். உங்கள் அடையாளம் மற்றும் கடவுச்சொல்லைச் சரிபார்க்கவும்.,Frontend,src/core/i18n/translations.ts
176,Auth - Login,Login failed error,Login failed. Please try again.,உள்நுழைவு தோல்வியடைந்தது. மீண்டும் முயற்சிக்கவும்.,Frontend,src/core/i18n/translations.ts
177,Auth - Login,ID required error,Thought Metrics ID is required,Thought Metrics அடையாளம் தேவை,Frontend,src/core/i18n/translations.ts
178,Auth - Login,Password required error,Password is required,கடவுச்சொல் தேவை,Frontend,src/core/i18n/translations.ts
179,Auth - Signup,Page title,Create an Account,கணக்கை உருவாக்கவும்,Frontend,src/core/i18n/translations.ts
180,Auth - Signup,Why register heading,Why Register?,ஏன் பதிவு செய்ய வேண்டும்?,Frontend,src/core/i18n/translations.ts
181,Auth - Signup,Register description,(There is a joining bonus of ₹ 50 on successful registration. This will be credited to your account after your first completed survey. T&C apply.),(வெற்றிகரமான பதிவில் ₹ 50 சேரும் போனஸ் உள்ளது. இது உங்கள் முதல் முடிக்கப்பட்ட கணக்கெடுப்புக்குப் பிறகு உங்கள் கணக்கில் வரவு வைக்கப்படும். நிபந்தனைகள் பொருந்தும்.),Frontend,src/core/i18n/translations.ts
182,Auth - Signup,Facebook login button,Continue with Facebook,Facebook மூலம் தொடரவும்,Frontend,src/core/i18n/translations.ts
183,Auth - Signup,Google login button,Continue with Google,Google மூலம் தொடரவும்,Frontend,src/core/i18n/translations.ts
184,Auth - Signup,Step 1 label,Step 1,படி 1,Frontend,src/core/i18n/translations.ts
185,Auth - Signup,Step 2 label,Step 2,படி 2,Frontend,src/core/i18n/translations.ts
186,Auth - Signup,Step 3 label,Step 3,படி 3,Frontend,src/core/i18n/translations.ts
187,Auth - Signup,Step 4 label,Step 4,படி 4,Frontend,src/core/i18n/translations.ts
188,Auth - Signup,Your information step,Your Information,உங்கள் தகவல்,Frontend,src/core/i18n/translations.ts
189,Auth - Signup,Preferences step,Preferences,விருப்பத்தேர்வுகள்,Frontend,src/core/i18n/translations.ts
190,Auth - Signup,Payment info step,Payment Info,கட்டண தகவல்,Frontend,src/core/i18n/translations.ts
191,Auth - Signup,Surveys step,Surveys,கணக்கெடுப்புகள்,Frontend,src/core/i18n/translations.ts
192,Auth - Signup,First name field,First name,முதல் பெயர்,Frontend,src/core/i18n/translations.ts
193,Auth - Signup,Last name field,Last name,கடைசி பெயர்,Frontend,src/core/i18n/translations.ts
194,Auth - Signup,Email field,Email,மின்னஞ்சல்,Frontend,src/core/i18n/translations.ts
195,Auth - Signup,Password field,Password,கடவுச்சொல்,Frontend,src/core/i18n/translations.ts
196,Auth - Signup,Confirm password field,Confirm Password,கடவுச்சொல்லை உறுதிப்படுத்து,Frontend,src/core/i18n/translations.ts
197,Auth - Signup,Phone field,Phone (Optional),தொலைபேசி (விரும்பினால்),Frontend,src/core/i18n/translations.ts
198,Auth - Signup,Door number field,Door No/ Street Address,கதவு எண் / தெரு முகவரி,Frontend,src/core/i18n/translations.ts
199,Auth - Signup,District field,District (Optional),மாவட்டம் (விரும்பினால்),Frontend,src/core/i18n/translations.ts
200,Auth - Signup,City field,City,நகரம்,Frontend,src/core/i18n/translations.ts
201,Auth - Signup,State field,State,மாநிலம்,Frontend,src/core/i18n/translations.ts
202,Auth - Signup,Country field,Country Or Region,நாடு அல்லது பகுதி,Frontend,src/core/i18n/translations.ts
203,Auth - Signup,Zip code field,Zip Code,அஞ்சல் குறியீடு,Frontend,src/core/i18n/translations.ts
204,Auth - Signup,Date of birth field,Date of Birth,பிறந்த தேதி,Frontend,src/core/i18n/translations.ts
205,Auth - Signup,Gender field,Gender (Optional),பாலினம் (விரும்பினால்),Frontend,src/core/i18n/translations.ts
206,Auth - Signup,Participation preferences section,Participation Preferences,பங்கேற்பு விருப்பத்தேர்வுகள்,Frontend,src/core/i18n/translations.ts
207,Auth - Signup,Participation description,Are there any types of studies in which you would not like to participate? If so unselect them below.,நீங்கள் பங்கேற்க விரும்பாத எந்த வகையான ஆய்வுகள் உள்ளதா? அப்படியென்றால் கீழே அவற்றைத் தேர்வு நீக்கவும்.,Frontend,src/core/i18n/translations.ts
208,Auth - Signup,Thought Metrics facilities,Interviews at Thought Metrics facilities,Thought Metrics வசதிகளில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
209,Auth - Signup,Phone interviews,Phone Interviews,தொலைபேசி நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
210,Auth - Signup,Online interviews,Online Interviews,ஆன்லைன் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
211,Auth - Signup,Interviews at home,Interviews at my home,என் வீட்டில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
212,Auth - Signup,Local businesses,Interviews at local businesses,உள்ளூர் வணிகங்களில் நேர்காணல்கள்,Frontend,src/core/i18n/translations.ts
213,Auth - Signup,Terms accepted text,I have read and understand my responsibilities as a participant and I agree to the,நான் பங்கேற்பாளராக எனது பொறுப்புகளைப் படித்து புரிந்துகொண்டேன் மற்றும் நான் ஒப்புக்கொள்கிறேன்,Frontend,src/core/i18n/translations.ts
214,Auth - Signup,Terms and conditions link,TERMS AND CONDITIONS,விதிமுறைகள் மற்றும் நிபந்தனைகள்,Frontend,src/core/i18n/translations.ts
215,Auth - Signup,Privacy accepted text,"By clicking ""Next"", you are agreeing to Thought Metrics","""அடுத்து"" என்பதைக் கிளிக் செய்வதன் மூலம், Thought Metrics க்கு நீங்கள் ஒப்புக்கொள்கிறீர்கள்",Frontend,src/core/i18n/translations.ts
216,Auth - Signup,Privacy policy link,PRIVACY POLICY,தனியுரிமைக் கொள்கை,Frontend,src/core/i18n/translations.ts
217,Auth - Signup,Next button,Next,அடுத்து,Frontend,src/core/i18n/translations.ts
218,Auth - Signup,Register button,Register,பதிவு செய்,Frontend,src/core/i18n/translations.ts
219,Auth - Signup,Processing state,Processing...,செயலாக்குகிறது...,Frontend,src/core/i18n/translations.ts
220,Auth - Signup,Required fields note,* denotes required field,* தேவையான புலத்தைக் குறிக்கிறது,Frontend,src/core/i18n/translations.ts
221,Auth - Signup,Welcome message,Welcome to Thought Metrics!,Thought Metrics க்கு வரவேற்கிறோம்!,Frontend,src/core/i18n/translations.ts
